ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24L009-35-24-220
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,001-100,35-24L009-001-100
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-192-PP-200-E10H2A,35-24L009-35-24-192-PP-200-E10
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-193-PP-100-E10H2A,35-24L009-35-24-193-PP-100-E10
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-189-PP-300-E10H2A,35-24L009-35-24-189-PP-300-E10
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-191-PP-250-E10H2A,35-24L009-35-24-191-PP-250-E10
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24L009-35-24-221
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-50,35-24L009-003-50
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24L009-35-24-198
