ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P508,,,5001-PM03-BR-BR1-35-24P508,35-24P508 SLABBING PLPR PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-025,,,35-24-025 SUCT LN PP-600
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1106,,35-24-1106 ISOL VLV NC
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-161,,35-24-161 DRN VLV DRN NC
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-227,,35-24-227 CHK VLV CHK
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-023,,,35-24-023 DIS LN PP-200
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1095,,35-24-1095 ISOL VLV NC
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-216,,35-24-216 DRN VLV DRN NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-164,,35-24-164 ISOL VLV HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P508.1,,,35-24P508.1
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-508.1,,,35-24-508.1
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P508.2,,,35-24P508.2
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-508.2,,,35-24-508.2
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P508.3,,,35-24P508.3
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-508.3,,,35-24-508.3
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P508.4,,,35-24P508.4
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-508.4,,,35-24-508.4
