ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-099,,,5001-PM03-BR-BR1-35-24-099,35-24-099 WFL LN BR1
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-099,,,35-24-099 WFL-15 HEADER LN
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9294,,35-24PI-9294 PRESS IND
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9295,,35-24FI-9295 FL IND
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-584,,35-24FS-584 FS
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-091,,35-24-091 DRN VLV DRN HV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-094,,,35-24-094
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-088,,,35-24-088
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-001.1,,,35-24-001.1
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-001.2,,,35-24-001.2
