ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,5001-PM03-BR-BR1-35-24L009,35-24L009 BROKE ROLL PLPR 141BDTPD
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,,35-24-009.1 PLPR MTR 160KW 1500RPM
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-674,,,35-24LC-674 PLPR LVL CTRL
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,,35-24LV1-674 LVL VLV 150 AV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,,35-24LV2-674 LVL VLV 80 AV
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,,35-24-198 VLV 003-50 NC
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,,35-24-193 IN LN PP-100
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-220,,35-24-220 VLV 001-100 HV
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-199,,35-24-199 VLV 003-15 HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,,35-24-191 PLPR CIRC LN PP-250
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,,35-24-196 VLV 355-250 NC
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,,35-24-221 VLV 003-50 NC
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,,35-24-197 VLV 001-80 HV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,,35-24-189 PLPR OUT LN PP-300
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,,35-24-190 DIS LN PP-200
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-194,,35-24-194 VLV 350-200 HV
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,,35-24-192 LN PP-200
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.1,,,35-24L009.1
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.2,,,35-24L009.2
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.2,,,35-24-009.2
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.3,,,35-24L009.3
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.3,,,35-24-009.3
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.4,,,35-24L009.4
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.4,,,35-24-009.4
