ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P505,,,5001-PM03-BR-BR1-35-24P505,35-24P505 SIZE PRESS PLPR PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,,35-24-221 SUCT LN PP-80
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-113,,35-24-113 ISOL VLV NC
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-560,,35-24LV1-560 LVL CTRL VLV AV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-078,,,35-24-078 DISCH LN PP-900
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-110,,35-24-110 ISOL VLV NC
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-108,,35-24-108 ISOL VLV NC
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-107,,35-24-107 ISOL VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-111,,35-24-111 CHECK VLV CHK
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-560,,35-24LV2-560 LVL CTRL VLV AV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-560,,,35-24LC-560 LVL CTRL INST
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P505.1,,,35-24P505.1
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-505.1,,,35-24-505.1
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P505.2,,,35-24P505.2
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-505.2,,,35-24-505.2
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P505.3,,,35-24P505.3
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-505.3,,,35-24-505.3
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P505.4,,,35-24P505.4
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-505.4,,,35-24-505.4
