ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P514,,,5001-PM03-BR-BR1-35-24P514,35-24P514 BROKE STOR PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-131,,,35-24-131 SUCT LN PP-700
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-057,,35-24-057 ISOL VLV HV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-058,,35-24-058 ISOL VLV HV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-132,,,35-24-132 DIS LN PP-500
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-049,,35-24-049 VLV NC
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-209,,35-24-209 VLV NC FLS
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FC-613,,35-24FC-613 FL CTRL
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-133,,,35-24-133 DIS LN PP-500
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1132,,35-24-1132 VLV NC
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-055,,35-24-055 VLV NC
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1133,,35-24-1133 VLV NC
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1104,,35-24-1104 VLV NC
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-051,,35-24-051 DRN VLV NC
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-135,,,35-24-135 DIS LN PP-400
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-615,,35-24HV-615 ISOL VLV AV
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-130,,,35-24-130 LN PP-200
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-056,,35-24-056 ISOL VLV HV
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P514.1,,,35-24P514.1
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-514.1,,,35-24-514.1
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P514.2,,,35-24P514.2
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-514.2,,,35-24-514.2
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P514.3,,,35-24P514.3
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-514.3,,,35-24-514.3
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P514.4,,,35-24P514.4
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-514.4,,,35-24-514.4
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-048,,,35-24-048
