ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L010,,,5001-PM03-BR-BR1-35-24L010,35-24L010 BROKE SCRN PROFS-250HC
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-010.1,,,35-24-010.1 BROKE SCRN MTR 160KW
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24SC-645,,,35-24SC-645 BROKE SCRN SPD CTRL
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-646,,,35-24LC-646 BROKE SCRN LVL CTRL
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-169,,,35-24-169 PSR-100 FD LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-642,,35-24HV-642 ISOL VLV AV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-168,,,35-24-168 PSR-100 REJ LN
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-013,,35-24-013 VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-166,,,35-24-166 PSR-200 ACPT LN
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FV-644,,35-24FV-644 FL CTRL VLV AV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-170,,,35-24-170 PP-300 FD HEADER
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FV-640,,35-24FV-640 FL CTRL VLV AV
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-015,,35-24-015 VLV NC
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L010.1,,,35-24L010.1
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L010.2,,,35-24L010.2
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-010.2,,,35-24-010.2
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L010.3,,,35-24L010.3
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-010.3,,,35-24-010.3
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L010.4,,,35-24L010.4
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-010.4,,,35-24-010.4
