ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-063,,,5001-PM03-BR-BR1-35-24-063,35-24-063 WAF 250 BROKE LN
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24NV1-557,,,35-24NV1-557 CTRL VLV AV NC
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24NV2-557,,,35-24NV2-557 CTRL VLV AV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-061,,,35-24-061 WFL 15 LN
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1118,,35-24-1118 VLV NC
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9278,,35-24PI-9278 PRESS IND
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9279,,35-24FI-9279 FL IND
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-556,,35-24FS-556 FS
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-219,,,35-24-219 WFL 15 LN
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1115,,35-24-1115 VLV HV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9338,,35-24PI-9338 PRESS IND
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9339,,35-24FI-9339 FL IND
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-695,,35-24FS-695 FS
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-063,,,35-24-063
