ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-079,,,5001-PM03-BR-BR1-35-24-079,35-24-079 WFL LN DN15
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-106,,,35-24-106 ISOL VLV HV
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9286,,35-24PI-9286 PR IND
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9287,,35-24FI-9287 FL IND
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-568,,35-24FS-568 FS
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-079,,,35-24-079
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-003.4,,,35-24-003.4
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-003.3,,,35-24-003.3
