ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-088,,,5001-PM03-BR-BR1-35-24-088,35-24-088 WAF LN 300
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-086,,,35-24-086 WAF LN 100
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FV-570,,35-24FV-570 FL VLV AV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FC-570,,35-24FC-570 FL CTRL
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-084,,,35-24-084 WAF LN 100
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-572,,35-24HV-572 ISOL VLV HV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-083,,,35-24-083 WAF LN 300
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24KV-573,,35-24KV-573 ISOL VLV AV
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24KS-573,,35-24KS-573 POS SW
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-088,,,35-24-088 WAF LN 300
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-651,,35-24HV-651 ISOL VLV HV
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-089,,,35-24-089 WAF LN 300
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-575,,35-24HV-575 ISOL VLV HV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-103,,,35-24-103 DRN VLV HV
