ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L006,,,5001-PM03-BR-BR1-35-24L006,35-24L006 BROKE CVYR 3
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-049,,,35-24-049 PP-800 IN LN
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-051,,,35-24-051 PP-100 OUT LN
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-548,,35-24HV-548 ISOL VLV AV NC
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-046,,,35-24-046 PP-250 LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-047,,,35-24-047 PP-150 LN
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-137,,,35-24-137 PP-250 SPOOL
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L006.1,,,35-24L006.1
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-006.1,,,35-24-006.1
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L006.2,,,35-24L006.2
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-006.2,,,35-24-006.2
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L006.3,,,35-24L006.3
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-006.3,,,35-24-006.3
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L006.4,,,35-24L006.4
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-006.4,,,35-24-006.4
