ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-123,,,5001-PM03-BR-BR1-35-24-123,35-24-123 WFL PROC LN
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1103,,,35-24-1103 VLV HV 003-15
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9306,,35-24PI-9306 PRESS IND
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9307,,35-24FI-9307 FL IND
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-608,,35-24FS-608 FS
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-123,,,35-24-123
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-070,,,35-24-070
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1126,,,35-24-1126
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-073,,,35-24-073
