ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-136,,,5001-PM03-BR-BR1-35-24-136,35-24-136 WFL PROC LN
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-136,,,35-24-136 WFL-15 HEADER LN
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-050,,35-24-050 VLV AV NC
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9312,,35-24PI-9312 PI
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9313,,35-24FI-9313 FI
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-614,,35-24FS-614 FS
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-059,,,35-24-059
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-046,,,35-24-046
