ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24T607,,,5001-PM03-BR-BR1-35-24T607,35-24T607 BROKE DOS TNK 35M3
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-650,,,35-24LC-650 LVL CONTROLLER
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24HV-649,,,35-24HV-649 ISOL VLV HV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-177,,,35-24-177 PP-250 IN LN
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-178,,,35-24-178 PP-350 OUT LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-004,,35-24-004 VLV AV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-176,,,35-24-176 PP-150 OUT LN
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-003,,35-24-003 VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-214,,,35-24-214 VLV NC
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T607.1,,,35-24T607.1
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-607.1,,,35-24-607.1
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T607.2,,,35-24T607.2
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-607.2,,,35-24-607.2
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T607.3,,,35-24T607.3
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-607.3,,,35-24-607.3
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T607.4,,,35-24T607.4
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-607.4,,,35-24-607.4
