ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-028,,,5001-PM03-BR-BR1-35-24-028,35-24-028 WFL LN 15MM
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-157,,,35-24-157 003-15 VLV NC
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9266,,35-24PI-9266 PRESS IND
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9267,,35-24FI-9267 FI
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-527,,35-24FS-527 FS
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-028,,,35-24-028
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-159,,,35-24-159
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-163,,,35-24-163
