ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P503,,,5001-PM03-BR-BR1-35-24P503,35-24P503 PRESS PLPR GRBX OL PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-096,,,35-24-096 PP-900 DIS LN
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1105,,35-24-1105 VLV NC
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-093,,35-24-093 VLV NC
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-095,,,35-24-095 PP-200 SUCT LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-576,,35-24LV2-576 LVL VLV AV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-207,,35-24-207 VLV NC
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-217,,35-24-217 VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-234,,35-24-234 VLV HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P503.1,,,35-24P503.1
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-503.1,,,35-24-503.1
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P503.2,,,35-24P503.2
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-503.2,,,35-24-503.2
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P503.3,,,35-24P503.3
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-503.3,,,35-24-503.3
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P503.4,,,35-24P503.4
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-503.4,,,35-24-503.4
