ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L005,,,5001-PM03-BR-BR1-35-24L005,35-24L005 REEL PLPR HP-63G2
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-537,,,35-24LC-537 LVL CTRL
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-537,,35-24LV1-537 LVL VLV AV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-537,,35-24LV2-537 LVL VLV AV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-223,,,35-24-223 PP-100 LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FV-696,,35-24FV-696 FL CTRL VLV AV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-043,,,35-24-043 PP-300 LN
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-222,,,35-24-222 PP-400 LN
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-044,,,35-24-044 PP-900 LN
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,,35-24-220 PP-80 LN
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1131,,,35-24-1131 350-400 BRANCH
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1112,,,35-24-1112 003-15 BRANCH
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1128,,,35-24-1128 003-50 BRANCH
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-140,,,35-24-140 350-300 LN
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-228,,,35-24-228 350-500 LN
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24XS-667,,,35-24XV-667 ISOL VLV AV
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24HV-548,,,35-24HV-548 ISOL VLV HV
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L005.1,,,35-24L005.1
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L005.2,,,35-24L005.2
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L005.3,,,35-24L005.3
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-005.3,,,35-24-005.3
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L005.4,,,35-24L005.4
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-005.4,,,35-24-005.4
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-005.2,,,35-24-005.2
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-005.1,,,35-24-005.1
