ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-080,,,5001-PM03-BR-BR1-35-24-080,35-24-080 WFL LN 15MM
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-104,,,35-24-104 ISOL VLV HV
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9288,,35-24PI-9288 PRESS IND
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9289,,35-24FI-9289 FL IND
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-569,,35-24FS-569 FS
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-080,,,35-24-080
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-106,,,35-24-106
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-109,,,35-24-109
