ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P509,,,5001-PM03-BR-BR1-35-24P509,35-24P509 GB OL PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009,,,35-24-009 DISCH LN PP-600
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-181,,35-24-181 ISOL VLV NC
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1088,,35-24-1088 BRANCH LN
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-184,,,35-24-184 SUCT LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-513,,35-24LV2-513 LVL CTRL VLV AV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,,35-24-186 DRN LN
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-187,,35-24-187 BRANCH VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-513,,,35-24LV1-513 LVL CTRL VLV AV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P509.1,,,35-24P509.1
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-509.1,,,35-24-509.1
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P509.2,,,35-24P509.2
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-509.2,,,35-24-509.2
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P509.3,,,35-24P509.3
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-509.3,,,35-24-509.3
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P509.4,,,35-24P509.4
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-509.4,,,35-24-509.4
