ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P506,,,5001-PM03-BR-BR1-35-24P506,35-24P506 REEL PLPR PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P506,,,35-24P506 PMP 250KW 1000RPM
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,,35-24-220 SUCT LN PP-80
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-537,,35-24LV2-537 LVL VLV AV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-147,,35-24-147 SUCT BRANCH 003-50
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-044,,,35-24-044 DIS LN PP-900
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-145,,35-24-145 DIS BRANCH 001-80
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1128,,35-24-1128 DIS BRANCH 003-50
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24NC-538,,,35-24NC-538 NC INST
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P506.1,,,35-24P506.1
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-506.1,,,35-24-506.1
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P506.2,,,35-24P506.2
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-506.2,,,35-24-506.2
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P506.3,,,35-24P506.3
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-506.3,,,35-24-506.3
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P506.4,,,35-24P506.4
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-506.4,,,35-24-506.4
