ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P513,,,5001-PM03-BR-BR1-35-24P513,35-24P513 BR1 BROKE PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-158,,,35-24-158 SUCT LN PP-400
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-021,,35-24-021 SUCT ISOL VLV HV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-212,,,35-24-212 DIS LN PP-100
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-019,,35-24-019 DIS ISOL VLV HV
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1091,,35-24-1091 VLV HV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-636,,35-24HV-636 ISOL VLV AV
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-201,,,35-24-201 VLV HV
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24HV-633,,,35-24HV-633 ISOL VLV AV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1093,,,35-24-1093 VLV NC
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24NV-634,,,35-24NV-634 VLV NC
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P513.1,,,35-24P513.1
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-513.1,,,35-24-513.1
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P513.2,,,35-24P513.2
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-513.2,,,35-24-513.2
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P513.3,,,35-24P513.3
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-513.3,,,35-24-513.3
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P513.4,,,35-24P513.4
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-513.4,,,35-24-513.4
