ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-106,,,5001-PM03-BR-BR1-35-24-106,35-24-106 WAF 500 BROKE LN
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LI-587,,,35-24LI-587 LVL IND
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-090,,,35-24-090 BRANCH SPOOL 003-50
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FV-593,,35-24FV-593 FL CTRL VLV AV NC
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-086,,,35-24-086 BRANCH SPOOL 101-500
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24KV-594,,35-24KV-594 ISOL VLV AV NC
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-583,,35-24HV-583 ISOL VLV HV
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-102,,,35-24-102 WFL FLSHG SPOOL
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-088,,35-24-088 VLV HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-104,,,35-24-104 WFL FLSHG SPOOL
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1124,,35-24-1124 VLV HV
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-106,,,35-24-106
