ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P510,,,5001-PM03-BR-BR1-35-24P510,35-24P510 BROKE PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P510,,,35-24P510 BROKE PMP 615L/S 1100KW
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-062,,,35-24-062 SUCT LN PP-250
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-559,,35-24LV1-559 LVL CTRL VLV AV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-205,,35-24-205 ISOL VLV HV
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-129,,35-24-129 ISOL VLV HV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-130,,35-24-130 ISOL VLV HV
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-131,,35-24-131 DRN VLV NC DRN
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-065,,,35-24-065 DIS LN PP-300
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1114,,35-24-1114 CHECK VLV CHK
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1099,,35-24-1099 ISOL VLV HV
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-066,,,35-24-066 DIS HDR PP-900
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24NV1-557,,35-24NV1-557 CTRL VLV NC AV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24NV2-557,,35-24NV2-557 CTRL VLV AV
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-126,,35-24-126 ISOL VLV HV
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-123,,35-24-123 ISOL VLV HV
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P510.1,,,35-24P510.1
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-510.1,,,35-24-510.1
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P510.2,,,35-24P510.2
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-510.2,,,35-24-510.2
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P510.3,,,35-24P510.3
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-510.3,,,35-24-510.3
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P510.4,,,35-24P510.4
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-510.4,,,35-24-510.4
