EQUNR,FUNCTION,EQKTX,TYPE,SOURCE,AI_DESCRIPTION,REASONING
35-24-001.1,35-24L001,HV 35-24-001.1 35-24L001 NC,NC,VISION,35-24-001.1 PRESS PLPR RTR 1 MTR,Tight-crop + legend classification → NC
35-24-001.2,35-24L001,HV 35-24-001.2 35-24L001 NC,NC,VISION,35-24-001.2 PRESS PLPR RTR 2 MTR,Tight-crop + legend classification → NC
35-24-095,35-24L001,HV 35-24-095 35-24L001 NC,NC,VISION,35-24-095 PP-200 PLPR OUT LN,Tight-crop + legend classification → NC
35-24LV2-576,35-24L001,HV 35-24-2-576 35-24L001 AV,AV,VISION,35-24LV2-576 LVL CTRL VLV AV,Tight-crop + legend classification → AV
35-24-234,35-24L001,HV 35-24-234 35-24L001 CHK HV,CHK HV,VISION,35-24-234 VLV CHK,Tight-crop + legend classification → CHK HV
35-24-096,35-24L001,HV 35-24-096 35-24L001 NC SMP,NC SMP,VISION,35-24-096 PP-900 PLPR LN,Tight-crop + legend classification → NC SMP
35-24-207,35-24L001,HV 35-24-207 35-24L001 NC FLS,NC FLS,VISION,35-24-207 VLV HV,Tight-crop + legend classification → NC FLS
35-24-217,35-24L001,HV 35-24-217 35-24L001 DRN NC,DRN NC,VISION,35-24-217 VLV NC,Tight-crop + legend classification → DRN NC
35-24-093,35-24L001,HV 35-24-093 35-24L001 NC,NC,VISION,35-24-093 VLV NC,Tight-crop + legend classification → NC
35-24-1105,35-24L001,HV 35-24-1105 35-24L001 NC FLS,NC FLS,VISION,35-24-1105 VLV AV,Tight-crop + legend classification → NC FLS
35-24-108,35-24L001,HV 35-24-108 35-24L001 NC FLS,NC FLS,VISION,35-24-108 PP-100 PLPR LN,Tight-crop + legend classification → NC FLS
35-24-033,35-24L002,HV 35-24-033 35-24L002 SMP HV,SMP HV,VISION,35-24-033 VLV HV,Tight-crop + legend classification → SMP HV
35-24-1110,35-24L002,HV 35-24-1110 35-24L002 DRN NC NO,DRN NC NO,VISION,35-24-1110 VLV NC,Tight-crop + legend classification → DRN NC NO
35-24LV-622,35-24L002,HV 35-24-622 35-24L002 AV,AV,VISION,35-24LV-622 LVL CTRL VLV AV,Tight-crop + legend classification → AV
35-24-032,35-24L002,HV 35-24-032 35-24L002 HV,HV,VISION,35-24-032 VLV HV,Tight-crop + legend classification → HV
35-24-029,35-24L002,HV 35-24-029 35-24L002 NC,NC,VISION,35-24-029 VLV HV,Tight-crop + legend classification → NC
35-24HV-623,35-24L002,HV 35-24-623 35-24L002 HV,HV,VISION,35-24HV-623 ISOL VLV AV,Tight-crop + legend classification → HV
35-24-030,35-24L002,HV 35-24-030 35-24L002 HV,HV,VISION,35-24-030 VLV HV,Tight-crop + legend classification → HV
35-24HV-626,35-24L002,HV 35-24-626 35-24L002 NC,NC,VISION,35-24HV-626 ISOL VLV AV,Tight-crop + legend classification → NC
35-24HV-628,35-24L002,HV 35-24-628 35-24L002 AV,AV,VISION,35-24HV-628 ISOL VLV AV,Tight-crop + legend classification → AV
35-24LV1-560,35-24L003,HV 35-24-1-560 35-24L003 AV,AV,VISION,35-24LV1-560 LVL VLV AV,Tight-crop + legend classification → AV
35-24LV2-560,35-24L003,HV 35-24-2-560 35-24L003 AV,AV,VISION,35-24LV2-560 LVL VLV AV,Tight-crop + legend classification → AV
